S1	S2	S3	C1	C2	C3	c1	c2	c3
17	-1	-16	7	1	-8	13	-1	-12
-15	1	14	1	-3	2	-11	7	4
5	-1	-4	1	7	-8	-1	5	-4
15	1	-16	13	1	-14	7	5	-12
-7	-1	8	-3	-3	6	-1	-1	2
-1	5	-4	1	11	-12	13	-1	-12
-1	-1	2	5	-1	-4	1	-5	4
5	-5	0	3	-3	0	3	-1	-2
-15	1	14	-1	-1	2	-13	-3	16
-9	3	6	-5	-5	10	-17	9	8
