T1S1C1C1,T1S1C1C2
T1S1C1C1,T1S1C1C3
T1S1C1C1,T1S1C2C1
T1S1C1C1,T1S1C3C1
T1S1C1C1,T1S2C1C1
T1S1C1C1,T1S3C1C1
T1S1C1C1,T2S1C1C1
T1S1C1C2,T1S1C1C3
T1S1C1C2,T1S1C2C2
T1S1C1C2,T1S1C3C2
T1S1C1C2,T1S2C1C2
T1S1C1C2,T1S3C1C2
T1S1C1C2,T2S1C1C2
T1S1C1C3,T1S1C2C3
T1S1C1C3,T1S1C3C3
T1S1C1C3,T1S2C1C3
T1S1C1C3,T1S3C1C3
T1S1C1C3,T2S1C1C3
T1S1C2C1,T1S1C2C2
T1S1C2C1,T1S1C2C3
T1S1C2C1,T1S1C3C1
T1S1C2C1,T1S2C2C1
T1S1C2C1,T1S3C2C1
T1S1C2C1,T2S1C2C1
T1S1C2C2,T1S1C2C3
T1S1C2C2,T1S1C3C2
T1S1C2C2,T1S2C2C2
T1S1C2C2,T1S3C2C2
T1S1C2C2,T2S1C2C2
T1S1C2C3,T1S1C3C3
T1S1C2C3,T1S2C2C3
T1S1C2C3,T1S3C2C3
T1S1C2C3,T2S1C2C3
T1S1C3C1,T1S1C3C2
T1S1C3C1,T1S1C3C3
T1S1C3C1,T1S2C3C1
T1S1C3C1,T1S3C3C1
T1S1C3C1,T2S1C3C1
T1S1C3C2,T1S1C3C3
T1S1C3C2,T1S2C3C2
T1S1C3C2,T1S3C3C2
T1S1C3C2,T2S1C3C2
T1S1C3C3,T1S2C3C3
T1S1C3C3,T1S3C3C3
T1S1C3C3,T2S1C3C3
T1S2C1C1,T1S2C1C2
T1S2C1C1,T1S2C1C3
T1S2C1C1,T1S2C2C1
T1S2C1C1,T1S2C3C1
T1S2C1C1,T1S3C1C1
T1S2C1C1,T2S2C1C1
T1S2C1C2,T1S2C1C3
T1S2C1C2,T1S2C2C2
T1S2C1C2,T1S2C3C2
T1S2C1C2,T1S3C1C2
T1S2C1C2,T2S2C1C2
T1S2C1C3,T1S2C2C3
T1S2C1C3,T1S2C3C3
T1S2C1C3,T1S3C1C3
T1S2C1C3,T2S2C1C3
T1S2C2C1,T1S2C2C2
T1S2C2C1,T1S2C2C3
T1S2C2C1,T1S2C3C1
T1S2C2C1,T1S3C2C1
T1S2C2C1,T2S2C2C1
T1S2C2C2,T1S2C2C3
T1S2C2C2,T1S2C3C2
T1S2C2C2,T1S3C2C2
T1S2C2C2,T2S2C2C2
T1S2C2C3,T1S2C3C3
T1S2C2C3,T1S3C2C3
T1S2C2C3,T2S2C2C3
T1S2C3C1,T1S2C3C2
T1S2C3C1,T1S2C3C3
T1S2C3C1,T1S3C3C1
T1S2C3C1,T2S2C3C1
T1S2C3C2,T1S2C3C3
T1S2C3C2,T1S3C3C2
T1S2C3C2,T2S2C3C2
T1S2C3C3,T1S3C3C3
T1S2C3C3,T2S2C3C3
T1S3C1C1,T1S3C1C2
T1S3C1C1,T1S3C1C3
T1S3C1C1,T1S3C2C1
T1S3C1C1,T1S3C3C1
T1S3C1C1,T2S3C1C1
T1S3C1C2,T1S3C1C3
T1S3C1C2,T1S3C2C2
T1S3C1C2,T1S3C3C2
T1S3C1C2,T2S3C1C2
T1S3C1C3,T1S3C2C3
T1S3C1C3,T1S3C3C3
T1S3C1C3,T2S3C1C3
T1S3C2C1,T1S3C2C2
T1S3C2C1,T1S3C2C3
T1S3C2C1,T1S3C3C1
T1S3C2C1,T2S3C2C1
T1S3C2C2,T1S3C2C3
T1S3C2C2,T1S3C3C2
T1S3C2C2,T2S3C2C2
T1S3C2C3,T1S3C3C3
T1S3C2C3,T2S3C2C3
T1S3C3C1,T1S3C3C2
T1S3C3C1,T1S3C3C3
T1S3C3C1,T2S3C3C1
T1S3C3C2,T1S3C3C3
T1S3C3C2,T2S3C3C2
T2S1C1C1,T2S1C1C2
T2S1C1C1,T2S1C1C3
T2S1C1C1,T2S1C2C1
T2S1C1C1,T2S1C3C1
T2S1C1C1,T2S2C1C1
T2S1C1C1,T2S3C1C1
T2S1C1C2,T2S1C1C3
T2S1C1C2,T2S1C2C2
T2S1C1C2,T2S1C3C2
T2S1C1C2,T2S2C1C2
T2S1C1C2,T2S3C1C2
T2S1C1C3,T2S1C2C3
T2S1C1C3,T2S1C3C3
T2S1C1C3,T2S2C1C3
T2S1C1C3,T2S3C1C3
T2S1C2C1,T2S1C2C2
T2S1C2C1,T2S1C2C3
T2S1C2C1,T2S1C3C1
T2S1C2C1,T2S2C2C1
T2S1C2C1,T2S3C2C1
T2S1C2C2,T2S1C2C3
T2S1C2C2,T2S1C3C2
T2S1C2C2,T2S2C2C2
T2S1C2C2,T2S3C2C2
T2S1C2C3,T2S1C3C3
T2S1C2C3,T2S2C2C3
T2S1C2C3,T2S3C2C3
T2S1C3C1,T2S1C3C2
T2S1C3C1,T2S1C3C3
T2S1C3C1,T2S2C3C1
T2S1C3C1,T2S3C3C1
T2S1C3C2,T2S1C3C3
T2S1C3C2,T2S2C3C2
T2S1C3C2,T2S3C3C2
T2S1C3C3,T2S2C3C3
T2S2C1C1,T2S2C1C2
T2S2C1C1,T2S2C1C3
T2S2C1C1,T2S2C2C1
T2S2C1C1,T2S2C3C1
T2S2C1C1,T2S3C1C1
T2S2C1C2,T2S2C1C3
T2S2C1C2,T2S2C2C2
T2S2C1C2,T2S2C3C2
T2S2C1C2,T2S3C1C2
T2S2C1C3,T2S2C2C3
T2S2C1C3,T2S2C3C3
T2S2C1C3,T2S3C1C3
T2S2C2C1,T2S2C2C2
T2S2C2C1,T2S2C2C3
T2S2C2C1,T2S2C3C1
T2S2C2C1,T2S3C2C1
T2S2C2C2,T2S2C2C3
T2S2C2C2,T2S2C3C2
T2S2C2C2,T2S3C2C2
T2S2C2C3,T2S2C3C3
T2S2C2C3,T2S3C2C3
T2S2C3C1,T2S2C3C2
T2S2C3C1,T2S2C3C3
T2S2C3C1,T2S3C3C1
T2S2C3C2,T2S2C3C3
T2S2C3C2,T2S3C3C2
T2S3C1C1,T2S3C1C2
T2S3C1C1,T2S3C1C3
T2S3C1C1,T2S3C2C1
T2S3C1C1,T2S3C3C1
T2S3C1C2,T2S3C1C3
T2S3C1C2,T2S3C2C2
T2S3C1C2,T2S3C3C2
T2S3C1C3,T2S3C2C3
T2S3C2C1,T2S3C2C2
T2S3C2C1,T2S3C2C3
T2S3C2C1,T2S3C3C1
T2S3C2C2,T2S3C2C3
T2S3C2C2,T2S3C3C2
T2S3C3C1,T2S3C3C2
