WL,NL
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
20.0,80.0
0.0,100.0
0.0,100.0
0.0,100.0
0.0,100.0
20.0,80.0
0.0,100.0
